제목,기사미리보기,카테고리,기자,날짜	
"내 메달은 내가 목에 건다…올림픽 초유의 '셀프 시상식'","[앵커]코로나 속에 치러지는 이번 올림픽에선 달라지는 게 많지요. 시상식 풍경도 아예 바뀝니다. 시상대 위에 선 선수는 메달을 스스로 목에 걸어야 합니다.김소현 기자입니다.[기자]1936년 베를린 올림픽에서 손기...","스포츠","김소현 기자",2021-07-15 21:33:00
"7인제 럭비팀 첫 올림픽 무대…1승 넘어 기적을 달린다","[정연식/럭비 국가대표 : 우리나라 럭비의 매운맛을 한번 보여주고 오겠습니다.][앵커]무궁화와 호랑이 마크를 달고 처음으로 올림픽 무대를 밟는 선수들이 있습니다. 남자 7인제 럭비 대표팀인데요. 불모지에 가까...","스포츠","최하은 기자",2021-07-15 21:29:00
"[날씨] 서울 32도| 대전 33도…'돌풍 소나기' 오는 곳도","오늘(15일) 낮 최고기온이 서울 34.5도| 대전 35.3도로 올여름 최고기온을 다시 갈아치웠습니다.내일도 서울 32도| 대전 33도까지 오르며 덥겠습니다.전국적으로 대기 불안정이 심해서 돌풍과 함께 시간당 50mm 이...","날씨","김세현 기자",2021-07-15 21:28:00
"[오늘| 이 장면] 결정적 장면 만든다| '아데토쿤보의 손'","< 밀워키(2승2패) 109:103 피닉스(2승2패)｜NBA 챔피언결정 4차전 >예전에 공개됐던 NBA 스타| 아데토쿤보의 손 사진입니다.NBA 챔피언 결정전에선 이 큼지막한 손이 여러번 결정적인 장면을 만들어내고 있습니다....","스포츠","오광춘 기자",2021-07-15 21:26:00
""아파트가 싱크홀에"…'플로리다 붕괴' 신고전화 속 절규","[앵커]미국 플로리다에서 아파트 붕괴 사고가 난 지| 3주가 지났습니다. 건물이 무너진 직후| 절규하는 주민들의 목소리가 뒤늦게 공개됐습니다.구조 당국에 녹음된 당시의 다급했던 상황을 이지은 기자가 전합니다...","국제","이지은 기자",2021-07-15 21:18:00
"[백브리핑] 재난지원금 대신 자부심?…김부겸 "표현 부족"","뉴스 뒤에 숨은 이야기 백브리핑 시작합니다.첫 번째 브리핑 < 자부심 팝니다 > 입니다.어제(14일) 오늘 사이 중고거래앱에 올라 온 상품입니다.25만 원| 24만 5천 원에 내놨는데요.무슨 제품인지는 몰라도 아무리 ...","정치","최종혁 기자",2021-07-15 21:17:00
"'피살' 해수부 공무원 유족| 해경에 '2020만922원' 소송","[앵커]지난해 연평도 인근 바다에서 북한군 총에 맞아 숨진 해양수산부 공무원의 유족이 오늘(15일)| 해경 간부들을 상대로 소송을 냈습니다. 당시 해경이 발표했던 수사 결과가 인권을 침해하는 내용이었으니 사과...","사회","박지영 기자",2021-07-15 21:08:00
"[팩트체크] '곰 쓸개가 몸에 좋다?'…과장 속설에 평생 갇혀 사는 '사육곰'","[앵커]이번엔 팩트체크 순서입니다. 지난주 용인에서 개인이 기르던 반달가슴곰이 탈출했지요. 지금도 400마리 정도가 죽을 날만 기다리며 철창 속에 갇혀있습니다.몸에 좋단 이유로 곰의 쓸개| 웅담을 찾는 사람들...","사회","최재원 기자",2021-07-15 21:01:00
"당락 바뀐 47명…서울시교육청| 합격자 발표 또 실수","[앵커]서울시교육청이 또 공무원 임용시험 합격자 발표를 번복했습니다. 과목 점수를 잘못 계산했기 때문입니다. 이런 실수가 작년 말에 이어 벌써 두 번째입니다.김민 기자입니다.[기자]어제(14일) 발표한 서울시...","사회","김민 기자",2021-07-15 21:00:00
"400㎏ 넘는 케이블 묶음에 깔려…안전 대책 요구했었다","[앵커]어제(14일) 경북 포항에서 400kg이 넘는 케이블 묶음에 50대 노동자가 깔려 숨졌습니다. 또 하청업체 노동자였습니다. 노동자들은 현장에 신호수를 배치하고 울타리도 쳐달라고 한 달 전에 회사에 요구했지만...","사회","윤두열 기자",2021-07-15 20:59:00
"자동차 판매점서 대표·직원 숨진 채 발견…"싸우는 소리 났다"","[앵커]오늘(15일) 아침 인천의 한 자동차 대리점에서 대표와 직원이 숨진 채 발견됐습니다. 두 명 모두 흉기에 찔린 상태였습니다.어환희 기자입니다.[기자]두 남성이 사무실 안으로 들어갑니다.20분쯤 뒤| 누군가 ...","사회","어환희 기자",2021-07-15 20:55:00
""어차피 못 잡잖아"…성희롱 일삼는 텔레그램 '합성방'","[앵커]추적보도 훅입니다. 아는 사람의 얼굴을 다른 사진이나 영상에 합성해 성희롱을 일삼는 이른바| 텔레그램 합성방들이 여전히 많습니다. 취재진이라고 밝히고| 이 방에 들어가있는 사람들과 이야기를 해보니 ...","사회","오승렬 기자",2021-07-15 20:54:00
"징계 위한 감찰 아니다?…한명숙 수사팀 징계 추진했다","[앵커]법무부는 어제(14일) 한명숙 전 총리 사건에서의 '위증 사건 수사'에 대한 감찰 결과를 발표했습니다. 박범계 장관은 "누군가를 징계하려는 감찰이 아니었다"고 설명했습니다. 하지만 저희 취재 결과는 달랐...","사회","이지혜 기자",2021-07-15 20:48:00
