title,writer,price
"데이터 과학을 위한 파이썬과 R","릭 슈카페타  보이안 앙겔로프 ",16,200원
"리얼 호치민 [2022~2023]","권예빈 ",16,200원
"만화로 배우는 요리의 역사","브누아 시마  스테판 두에(그림) ",18,810원
"신비한 뮤직박스 1 : 판도리아에 온 걸 환영해","카르본  지제 ",13,500원
"STEM CookBook, 정수론 첫걸음","Kuldeep Singh ",33,000원
"[엉뚱소심 유령 탐정단]  1. 도서관 유령 소동","도리 힐레스타드 버틀러  오로르 다망(그림) ",11,700원
"[엉뚱소심 유령 탐정단]  2. 다락방 유령 사건","도리 힐레스타드 버틀러  오로르 다망(그림) ",11,700원
"전문가를 위한 C","캄란 아미니 ",49,500원
"손목시계의 교양","시노다 데쓰오 ",22,500원
"파이썬 라이브러리를 활용한 텍스트 분석","젠스 알브레히트  싯다르트 라마찬드란  크리스티안 윙클러 ",31,500원
"국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는 승인율 99.9% 이모티콘 만들기","씨엠제이(최민정) ",13,500원
"IT CookBook, C# 프로그래밍 for Beginner","우재남 ",27,000원
"엄마의 말하기 연습 (20만부 기념 스페셜 에디션)","박재연 ",13,320원
"엄마와 물건","심혜진  이입분(구술) ",15,120원
"소프트웨어 아키텍처 The Hard Parts","닐 포드  마크 리처즈  프라모드 세달라지  세막 데그하니 ",32,400원
"R과 jamovi를 활용한 한번에 적용하는 의학보건통계","히든그레이스 데이터분석팀 ",32,000원
"만화로 배우는 불멸의 역사","필리프 베르코비치 ",17,550원
"파이썬 기반 금융 인공지능","이브 힐피시 ",37,800원
"어쩌다 데이터 분석 with 파이썬","김유지(Clary K) ",25,200원
"글로벌 시장환경과 국제경영","이장로  신만수  김창수 ",40,000원
"답답해서 찾아왔습니다","한덕현  이성우 ",16,020원
"협력의 유전자","니컬라 라이하니 ",19,800원
"모션 그래픽 디자인을 위한 애프터 이펙트 실무 강의","이수정 ",24,300원
"STEM CookBook, 미래 세상의 모빌리티","임덕신  임현준 ",23,000원
"리얼 교토 [2022~2023 개정판]","황성민  정현미 ",16,200원
"이것이 자바다(개정판)","신용권  임경균 ",32,400원
"IT CookBook, 처음 만나는 전력공학(2판)","박숭규  최은혁  최병숙 ",27,000원
"판다스 인 액션","보리스 패스캐버 ",34,200원
"경영경제 통계학 4판 : Excel과 R의 실전적 활용","Sanjiv Jaggia  Alison Kelly ",38,000원
"세븐 파워","해밀턴 헬머 ",16,650원
"엑셀 바이블(개정판) : 실무에 최적화된 엑셀 사용서(모든 버전 사용 가능)","최준선 ",35,100원
"4차 산업혁명 시대의 국제마케팅(8판)","이장로  문희철  이춘수 ",29,000원
"데이터로 전문가처럼 말하기","칼 올친 ",25,200원
"만화로 배우는 동물의 역사","카린루 마티뇽  올리비에 마르탱(그림) ",17,550원
"소문난 명강의 : 김기현의 딥러닝 부트캠프 with 파이토치","김기현 ",34,200원
"스마트 물류 비즈니스를 위한 글로벌 공급사슬관리(2판)","김종락  김시영  신건철 ",29,000원
"신제품 개발 관리","김종배 ",29,000원
"광고론(2판)","김종배 ",34,000원
"코드로 인프라 관리하기(2판)","키프 모리스 ",30,600원
"전략경영 : 개념과 사례, 경쟁우위 접근법 (제17판)","Fred R. David  Forest R. David  Meredith E. David ",39,000원
"개발자를 위한 머신러닝&딥러닝","로런스 모로니 ",30,600원
"리얼 방콕 [2022~2023 최신판]","배나영 ",16,200원
"10억이 열린다","김민수 ",15,120원
"오려도 오려도 끝판왕 진짜! 마트 오리기","박새미 ",13,950원
