title,writer,price
데이터 과학을 위한 파이썬과 R,"릭 슈카페타 , 보이안 앙겔로프 ",16200
리얼 호치민 [2022~2023],권예빈 ,16200
만화로 배우는 요리의 역사,"브누아 시마 , 스테판 두에(그림) ",18810
신비한 뮤직박스 1 : 판도리아에 온 걸 환영해,"카르본 , 지제 ",13500
"STEM CookBook, 정수론 첫걸음",Kuldeep Singh ,33000
[엉뚱소심 유령 탐정단]  1. 도서관 유령 소동,"도리 힐레스타드 버틀러 , 오로르 다망(그림) ",11700
[엉뚱소심 유령 탐정단]  2. 다락방 유령 사건,"도리 힐레스타드 버틀러 , 오로르 다망(그림) ",11700
전문가를 위한 C,캄란 아미니 ,49500
손목시계의 교양,시노다 데쓰오 ,22500
파이썬 라이브러리를 활용한 텍스트 분석,"젠스 알브레히트 , 싯다르트 라마찬드란 , 크리스티안 윙클러 ",31500
국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는 승인율 99.9% 이모티콘 만들기,씨엠제이(최민정) ,13500
"IT CookBook, C# 프로그래밍 for Beginner",우재남 ,27000
엄마의 말하기 연습 (20만부 기념 스페셜 에디션),박재연 ,13320
엄마와 물건,"심혜진 , 이입분(구술) ",15120
소프트웨어 아키텍처 The Hard Parts,"닐 포드 , 마크 리처즈 , 프라모드 세달라지 , 세막 데그하니 ",32400
R과 jamovi를 활용한 한번에 적용하는 의학보건통계,히든그레이스 데이터분석팀 ,32000
만화로 배우는 불멸의 역사,필리프 베르코비치 ,17550
파이썬 기반 금융 인공지능,이브 힐피시 ,37800
어쩌다 데이터 분석 with 파이썬,김유지(Clary K) ,25200
글로벌 시장환경과 국제경영,"이장로 , 신만수 , 김창수 ",40000
