도서명,저자,출판사,출판일,가격
 "트렌드 코리아 2023","김난도 외","미래의창","2022-10-05","17100"
  "무뎌진 감정이 말을 걸어올 때","김소영","책발전소X테라코타","2022-11-09","14220"
  "아버지의 해방일지","정지아","창비","2022-09-02","13500"
  "문재인 탁상달력(2023)","더휴먼 편집부","더휴먼","2022-11-11","8820"
  "마법천자문 55: 분명하게 정해라! 결정","유대영 외","아울북","2022-10-24","12600"
  "하얼빈","김훈","문학동네","2022-08-03","14400"
  "엉뚱소심 유령 탐정단 1: 도서관 유령 소동","도리 힐레스타드 버틀러 외","한빛에듀","2022-10-14","11700"
  "잘될 수밖에 없는 너에게","최서영","북로망스","2022-08-18","14400"
  "세상에서 가장 쉬운 본질육아","지나영","21세기북스","2022-09-28","16920"
  "심리학이 조조에게 말하다 1","천위안 외","리드리드출판","2022-11-10","16020"
  "원피스 103: 해방의 전사","Eiichiro Oda","대원씨아이","2022-10-28","4950"
  "조금 서툴더라도 네 인생을 응원해","정은지 외","미디어숲","2022-11-20","15120"
  "2023 오늘도 빵먹일력","주쓰","알에이치코리아","2022-11-15","19800"
  "불편한 편의점(40만부 기념 벚꽃 에디션)","김호연","나무옆의자","2021-04-20","12600"
  "불편한 편의점 2(단풍 에디션)","김호연","나무옆의자","2022-08-10","12600"
  "대한민국의 붕괴","코나아이(주) 시스템다이내믹스팀","양서원","2022-10-15","18000"
  "나의 문화유산답사기 11: 서울편(3)","유홍준","창비","2022-10-25","19800"
  "역행자","자청","웅진지식하우스","2022-06-03","15750"
  "이은경쌤의 초등어휘일력 365","이은경","포레스트북스","2022-10-28","16920"
  "반짝이는 하루| 그게 오늘이야","레슬리 마샹 외","미디어숲","2022-10-20","15120"
 
